time,latitude,longitude,depth,mag,magType
2016-02-24T09:22:16.990Z,27.8205,85.7593,10,4.7,mb
2016-02-21T18:10:01.450Z,28.0107,84.7447,19.24,5,mb
2016-02-10T16:27:41.910Z,27.7118,85.6292,21.15,4.1,mb
2016-02-09T02:29:02.720Z,30.6371,86.123,40.24,4.6,mb
2016-02-05T16:20:11.640Z,27.8396,85.2486,25.95,5.2,mb
2016-01-31T04:39:48.230Z,29.6353,84.2685,10,4.1,mb
2016-01-31T04:18:25.460Z,29.6637,84.2327,10,4.2,mb
2016-01-28T09:36:03.450Z,29.4663,87.9565,10,4.1,mb
2016-01-26T16:57:30.840Z,29.5248,87.8553,24.65,4.2,mb
2016-01-21T19:22:43.590Z,28.0269,85.0515,19.01,4.5,mb
2016-01-14T00:03:52.650Z,29.4873,87.8145,10,4.1,mb
2016-01-13T23:15:46.160Z,29.7043,88.0054,10,4.4,mb
2015-12-26T04:48:40.050Z,29.1913,81.42,10,4.1,mb
2015-12-18T22:16:56.550Z,29.3985,81.6541,10,5.4,mb
2015-11-29T02:47:52.820Z,31.373,78.7325,35,4.1,mb
2015-11-25T05:02:06.220Z,29.6929,89.8692,77.42,4.7,mb
2015-11-24T12:24:15.590Z,28.1552,84.7587,8.19,4.6,mb
2015-11-19T04:15:52.600Z,27.8525,85.6776,16.51,5,mb
2015-10-12T15:39:07.360Z,28.9796,86.3729,10,4.5,mb
2015-10-10T01:48:45.570Z,27.2548,88.8009,48.22,4.3,mb
2015-10-09T20:29:56.020Z,28.8544,86.469,10,4.9,mb
2015-10-09T01:01:21.970Z,28.8999,86.3397,10,4,mb
2015-10-07T04:58:20.550Z,27.8771,84.8817,34.7,4.2,mb
2015-10-06T23:30:29.260Z,27.6712,85.9838,14.04,4.3,mb
2015-10-06T12:02:40.700Z,27.7479,86.1479,10,4,mb
2015-10-05T16:18:02.750Z,31.4974,86.4956,10,4.5,mb
2015-10-05T07:36:25.480Z,27.7703,86.1587,10,4.3,mb
2015-10-05T07:33:21.920Z,27.6395,86.0343,10,4.5,mb
2015-09-29T10:54:42.010Z,27.7769,85.8162,10,4.4,mb
2015-09-29T09:27:17.090Z,29.996,80.3737,35,4.6,mb
2015-09-22T06:32:45.680Z,27.6915,85.0633,10,4.4,mb
2015-09-16T14:52:12.070Z,27.5875,86.1894,7.48,4.2,mb
2015-09-12T09:40:28.760Z,31.6437,87.7942,14.92,4.2,mb
2015-09-11T23:56:59.380Z,26.0549,89.5568,18.5,4,mb
2015-09-01T23:06:40.640Z,27.6836,86.2819,16.02,4.1,mb
2015-08-30T13:17:34.680Z,27.6519,85.6673,10,4.5,mb
2015-08-24T06:53:44.060Z,28.3466,87.2202,10.53,4,mb
2015-08-23T09:02:05.080Z,27.8355,86.0795,10,5,mb
2015-08-17T22:23:57.910Z,27.9066,86.1322,10.44,4.2,mb
2015-08-15T18:11:39.530Z,27.7023,85.9473,10,4.7,mb
2015-08-15T05:42:20.300Z,27.3759,87.8566,10,4.4,mb
2015-08-14T13:02:26.290Z,27.5691,86.086,10,4.6,mb
2015-08-09T22:30:26.860Z,28.2257,84.8043,10,4.2,mb
2015-08-05T19:15:56.760Z,30.3652,80.3368,10,4.1,mb
2015-08-01T12:14:28.560Z,28.7475,87.6636,34.28,4.4,mb
2015-08-01T01:37:42.690Z,28.532,85.6808,10,4,mb
2015-07-18T23:48:08.680Z,30.4476,79.1538,10,4.4,mb
2015-07-10T21:13:01.030Z,27.7297,86.0836,10,4.2,mb
2015-07-10T12:53:23.250Z,26.6628,90.5991,19.67,4.3,mb
2015-07-07T09:31:41.580Z,29.6068,81.733,10,4.2,mb
2015-07-06T15:29:07.940Z,27.9368,85.6886,10,4.2,mb
2015-07-03T20:04:07.080Z,27.7236,84.9064,3.36,4.5,mb
2015-07-02T01:56:11.700Z,27.9835,85.5714,10,4.2,mb
2015-06-30T13:15:57.200Z,26.0436,90.7596,42.34,4,mb
